Repeat	Correlation
1	0.767532406874898
2	0.869271406952419
3	0.849647022549733
4	0.731939257430055
5	0.891344501397202
6	0.802299203167894
7	0.84158589560899
8	0.817169272040026
9	0.8434935836484
10	0.77129035402834
11	0.810998870340558
12	0.864114419767518
13	0.904526749660966
14	0.851818360374822
15	0.903061687467391
16	0.844891454676161
17	0.842727480151301
18	0.860015941681313
19	0.83345690184513
20	0.69716047579726
21	0.818218649136696
22	0.871051424431411
23	0.778834564264665
24	0.835734197771199
25	0.847875279548379
26	0.862051891557068
27	0.885452708753684
28	0.872811351493549
29	0.80736204099767
30	0.812373171744778
31	0.789778939214339
32	0.795052283449689
33	0.802226964324587
34	0.850048755725503
35	0.828312364356412
36	0.889373497337168
37	0.809176607256311
38	0.868145963660216
39	0.758403555709273
40	0.753405942355529
41	0.696559687024204
42	0.837529729166998
43	0.859471453892516
44	0.840259540441147
45	0.813520811780474
46	0.875056801428666
47	0.909699985217031
48	0.796286534472348
49	0.84204966727785
50	0.796817403528114
Trining (Max)	0.9097
Test	0.812311
