CV Number 2: Start
CV Number 2: Check prediction (correlation) rate for all markers using RRblup model.
CV Number 2: Prediction (correlation) rate for all markers using RRblup is 0.685125037009932
CV Number 2: Prediction running time for all markers is 1.124694 secs
CV Number 2: Initial marker set's prediction (correlation) rate is 0.06188
CV Number 2: Start marker selection at 2020-04-24 23:10:51 KST
Add: 0.06964 (delta: 0.007761), time: 0.01450729 secs
Add: 0.419603 (delta: 0.349962), time: 0.2854996 secs
Add: 0.435957 (delta: 0.016354), time: 1.713277 secs
Add: 0.574938 (delta: 0.138981), time: 2.137299 secs
Add: 0.595371 (delta: 0.020433), time: 3.819339 secs
Add: 0.67085 (delta: 0.075479), time: 4.343173 secs
Add: 0.67279 (delta: 0.00194), time: 4.993669 secs
Add: 0.690594 (delta: 0.017804), time: 5.250053 secs
Add: 0.706267 (delta: 0.015673), time: 6.087821 secs
Add: 0.714609 (delta: 0.008343), time: 6.818039 secs
Add: 0.730654 (delta: 0.016044), time: 7.223176 secs
Add: 0.73245 (delta: 0.001797), time: 10.12332 secs
Add: 0.735658 (delta: 0.003208), time: 11.55419 secs
Add: 0.737062 (delta: 0.001404), time: 12.13187 secs
Add: 0.738757 (delta: 0.001695), time: 12.48047 secs
Add: 0.755071 (delta: 0.016314), time: 14.63739 secs
Add: 0.759568 (delta: 0.004497), time: 15.62088 secs
Add: 0.768769 (delta: 0.0092), time: 17.18447 secs
Add: 0.775285 (delta: 0.006516), time: 18.93018 secs
Add: 0.783159 (delta: 0.007874), time: 19.52915 secs
Add: 0.785699 (delta: 0.00254), time: 21.74367 secs
Add: 0.788084 (delta: 0.002385), time: 21.97744 secs
Add: 0.789531 (delta: 0.001448), time: 22.75703 secs
Add: 0.801011 (delta: 0.011479), time: 23.10693 secs
Add: 0.803948 (delta: 0.002937), time: 25.01445 secs
Add: 0.811905 (delta: 0.007957), time: 25.40667 secs
Add: 0.820399 (delta: 0.008494), time: 25.7937 secs
Add: 0.822042 (delta: 0.001643), time: 26.75153 secs
Add: 0.826061 (delta: 0.00402), time: 29.80559 secs
Add: 0.830598 (delta: 0.004536), time: 30.64728 secs
Add: 0.832928 (delta: 0.00233), time: 32.15205 secs
Add: 0.84151 (delta: 0.008582), time: 34.59374 secs
Add: 0.84321 (delta: 0.0017), time: 35.35508 secs
Add: 0.851782 (delta: 0.008572), time: 35.75963 secs
Add: 0.858344 (delta: 0.006563), time: 37.38974 secs
Add: 0.862859 (delta: 0.004515), time: 37.63438 secs
Add: 0.86466 (delta: 0.0018), time: 38.18286 secs
Add: 0.867143 (delta: 0.002484), time: 39.28069 secs
Add: 0.8682 (delta: 0.001057), time: 39.89612 secs
Add: 0.875356 (delta: 0.007156), time: 40.47882 secs
Add: 0.88023 (delta: 0.004874), time: 41.44125 secs
Add: 0.885162 (delta: 0.004932), time: 41.94182 secs
Add: 0.886712 (delta: 0.00155), time: 43.46473 secs
Add: 0.888009 (delta: 0.001297), time: 45.17179 secs
Add: 0.89052 (delta: 0.002512), time: 45.42533 secs
Add: 0.892322 (delta: 0.001802), time: 46.16232 secs
Add: 0.893383 (delta: 0.001061), time: 50.22548 secs
Add: 0.894563 (delta: 0.00118), time: 51.94138 secs
Add: 0.898281 (delta: 0.003718), time: 54.02813 secs
Add: 0.89996 (delta: 0.001679), time: 54.7669 secs
Add: 0.901411 (delta: 0.001451), time: 55.0187 secs
CV Number 2: # of selected markers is 56, and correlation rate is 0.901410984032717
CV Number 2: Running time for marker selection is 56.67085 secs
CV Number 2: End RRblup model.


