Repeat	Correlation
1	0.825671633704932
2	0.876309102027118
3	0.899995411451119
4	0.741476599742407
5	0.906270213606219
6	0.881776164378383
7	0.852025938145648
8	0.811538023842954
9	0.900514771133582
10	0.783108206999985
11	0.864709781537921
12	0.847891488382574
13	0.886254475319835
14	0.886020058222526
15	0.911690831465897
16	0.844918728336397
17	0.827182470466541
18	0.885855494041736
19	0.867342779809914
20	0.759621409011002
21	0.798451808404933
22	0.86914847443534
23	0.804012830210229
24	0.840761464783408
25	0.878373512193166
26	0.874605670991157
27	0.863790933440799
28	0.888951377465869
29	0.796018054104782
30	0.836192474529575
31	0.711505246692558
32	0.846773265800107
33	0.777974517703801
34	0.866783880578094
35	0.829700707357656
36	0.876069120449743
37	0.884536967358381
38	0.875178499087336
39	0.746458694788151
40	0.840391659426876
41	0.699787096424802
42	0.834337236941038
43	0.884947687219082
44	0.824187159489556
45	0.816382962428851
46	0.890189811461527
47	0.873694450602538
48	0.85356031353521
49	0.855885068127256
50	0.810544276821988
Trining (Max)	0.911691
Test	0.783339
