Repeat	Train.Correlation	Val.Correlation
1	0.970756525227565	0.809349541552933
2	0.972499627016105	0.77361718912349
3	0.972042186818652	0.800769540274321
4	0.973351596436611	0.73808296170703
5	0.971136278127683	0.791278736437059
6	0.969665227450773	0.875228371918292
7	0.971664187856586	0.677130876053353
8	0.969279153559067	0.851391597612318
9	0.972431365883537	0.794439420843088
10	0.973788224744444	0.701149777015196
11	0.969565666937703	0.784616297043257
12	0.969490293930242	0.821131235109033
13	0.972529484760573	0.785955939951441
14	0.969410487637494	0.922905681185729
15	0.973635082026801	0.766434004521838
16	0.969713490208421	0.812918517748654
17	0.971273884580694	0.856872196476814
18	0.971467914370999	0.805964865479958
19	0.973510692859431	0.747735601626705
20	0.972076724469893	0.805371467728345
21	0.974565040625014	0.629474985664908
22	0.969367107937733	0.877919821331334
23	0.970080964067277	0.845514514387402
24	0.970713984971615	0.831877962844663
25	0.973958774214049	0.79063626898792
26	0.97223745941189	0.77549759235614
27	0.969965248363258	0.765166039856164
28	0.970746294288189	0.829343385205813
29	0.972960536151782	0.630138816725449
30	0.974986494972099	0.730731592358439
31	0.967898060608057	0.860099424178791
32	0.972339188673463	0.80984007015015
33	0.96842319592115	0.859328965368804
34	0.975268865168147	0.76324755524615
35	0.968964940080639	0.941458792509118
36	0.974149499750683	0.829368615847529
37	0.971987063648104	0.754354531503638
38	0.972243671753055	0.847610056939264
39	0.976224883943381	0.614821304771856
40	0.970734681850843	0.916679024944877
41	0.973831817484697	0.795045272950575
42	0.974987199866759	0.868305399655384
43	0.971012029015274	0.899962853170338
44	0.973743337351227	0.640710582566261
45	0.972967033200322	0.799353074262606
46	0.968994243200728	0.79078445377024
47	0.972074798762261	0.836164749666861
48	0.971553733703178	0.755358815448488
49	0.974955037207864	0.735516273375107
50	0.970863255498894	0.789656676735967
Validation (Max)	0.968965 (0.00231)	0.941459 (0.059901)
Test (of Max)	-	0.638749
