Repeat	Train.Correlation	Val.Correlation
1	0.931803090349664	0.81565225579777
2	0.962126679565702	0.871429179088175
3	0.948523613033468	0.827446099394354
4	0.951032906325905	0.804442674112814
5	0.962192035240055	0.740565760750291
6	0.925113703884669	0.855974211832648
7	0.952982860003685	0.71009098044797
8	0.945758446737563	0.846371163390976
9	0.952124907716551	0.878307508521142
10	0.949924630427366	0.671815871634413
11	0.909185663722515	0.749482315871221
12	0.960280347466912	0.809038971480726
13	0.93613670030935	0.825719522636499
14	0.919181284763823	0.912810019334756
15	0.928758300940683	0.802392855350476
16	0.962733118112857	0.818499494462745
17	0.925314599993994	0.794675618083589
18	0.940994410019681	0.689336230982639
19	0.957365284646332	0.663922810428572
20	0.937146142952022	0.830648917702052
21	0.958689383189128	0.622944308074134
22	0.966495207424351	0.9407092921039
23	0.952108054652524	0.768561359946406
24	0.962514435110768	0.758072698231171
25	0.967465994071979	0.797524770957197
26	0.949232202148941	0.768626191226693
27	0.945926847460026	0.762396970673313
28	0.952533639244307	0.85389999843491
29	0.970327899273431	0.686639511491635
30	0.939420142532649	0.790079915520338
31	0.959035036954554	0.845609650287561
32	0.965752373831187	0.830531997526038
33	0.971479283507422	0.786941205901127
34	0.956706274857192	0.692076725181872
35	0.954659391400879	0.852594361226344
36	0.968459240072375	0.760819950158694
37	0.948604680391967	0.82306730400716
38	0.961595874501763	0.868280475410754
39	0.960688898309747	0.661681234165121
40	0.949929438863704	0.865882389696759
41	0.955544935162784	0.78679177189007
42	0.966317570092601	0.778271471721941
43	0.902448618154306	0.849580910579547
44	0.971681584489179	0.589393573945704
45	0.940017644605118	0.799082013230751
46	0.917714617811413	0.841974279239481
47	0.96269807752191	0.853915736417555
48	0.93982836452588	0.885060083117484
49	0.947931929727942	0.784313900737844
50	0.966403675936115	0.843119108752683
Validation (Max)	0.966495 (0.015237)	0.940709 (0.063419)
Test (of Max)	-	0.702763
