Repeat	Train.Correlation	Val.Correlation
1	0.949754909394555	0.850217973207709
2	0.958767749601671	0.872735664797611
3	0.947441666482736	0.854788884322213
4	0.93324433956548	0.846958122815309
5	0.949208118958041	0.72706591952328
6	0.943447813113381	0.863795117583476
7	0.962141326362599	0.677467259042009
8	0.95831325312664	0.880706674028406
9	0.977283264338846	0.855065079121642
10	0.959068151645001	0.731106031648371
11	0.907213240566072	0.767083605196346
12	0.95942261516507	0.837650369711843
13	0.934915354675072	0.871403534724516
14	0.916968152936232	0.903414222799775
15	0.974167723622746	0.698025273819977
16	0.973396274790324	0.777477262808103
17	0.922184660196924	0.825445100935312
18	0.942968631754051	0.746701618159317
19	0.964202113061077	0.792946050889129
20	0.973720302837877	0.845997093452871
21	0.958239341558786	0.715888257119932
22	0.981676443947248	0.867003031323246
23	0.951818410472909	0.743932229374918
24	0.981614356225064	0.861501262707996
25	0.970042939350234	0.779432226991686
26	0.955739154790914	0.819935925367438
27	0.952519901375	0.831824562766065
28	0.969632262231721	0.853524113122163
29	0.980894485105091	0.708370336419186
30	0.952660880006259	0.829582273670772
31	0.931008772568164	0.879878997308088
32	0.959488856707999	0.864890175459366
33	0.978902347119145	0.84334793245287
34	0.979257568206607	0.665299653341081
35	0.971362903508608	0.893477281878106
36	0.978166532414022	0.759215488036605
37	0.962823273686038	0.83905958698731
38	0.970388981121227	0.847181323478661
39	0.96909953908463	0.624632272900947
40	0.94853183239795	0.88210570919172
41	0.966057349597818	0.80204809437403
42	0.978227546012439	0.788744852993543
43	0.946506438060284	0.880986392273475
44	0.962176859133046	0.705593078908707
45	0.942194684450407	0.847870992271749
46	0.898070912264242	0.828310585621238
47	0.968179208800608	0.859198080910418
48	0.976966217483545	0.810703464524346
49	0.949980070245743	0.776684697110677
50	0.959347902223751	0.8645365382846
Validation (Max)	0.916968 (0.017011)	0.903414 (0.055349)
Test (of Max)	-	0.711008
