Repeat	Train.Correlation	Val.Correlation
1	0.969353451250569	0.885559338284311
2	0.967990518419787	0.924556779947227
3	0.959243271563368	0.918827857012207
4	0.963425028175833	0.906730726837064
5	0.959088529544351	0.928546117875987
6	0.950335159163257	0.970205290410548
7	0.967086329843326	0.893731071519704
8	0.944472029719565	0.980527082442132
9	0.949289871456817	0.979487389551281
10	0.971265371091548	0.902753205586338
11	0.955963435895801	0.957015263775333
12	0.957614481011073	0.947529199043857
13	0.953176950681845	0.962483285944674
14	0.950388464898777	0.980460041532522
15	0.962666957071384	0.939325803421659
16	0.956745071029574	0.957595905306199
17	0.955370683324899	0.964553920148757
18	0.962630060284975	0.922093963045043
19	0.958839113079212	0.951039067898285
20	0.961375878200452	0.936073772339356
21	0.96212496646135	0.936621502084755
22	0.95655947949594	0.960594824992846
23	0.956915656564724	0.957394328914388
24	0.955725865934261	0.961277677606244
25	0.964271710531759	0.93474439065822
26	0.954855883809597	0.968647473026341
27	0.958823293950803	0.948069741694156
28	0.960156609262556	0.946812590712537
29	0.96306778262796	0.932261771388176
30	0.965382119291925	0.921966891061044
31	0.956767108219863	0.959691487799269
32	0.955041907119393	0.968961068661699
33	0.963038873230227	0.944523798934974
34	0.962243403592202	0.917960498944679
35	0.951648560727473	0.977396418076535
36	0.960990664926321	0.93851898756944
37	0.949867172438674	0.972584470200619
38	0.953713906626286	0.972760943846793
39	0.963261935882138	0.901889741577379
40	0.94868903801438	0.986111008229897
41	0.947390761103527	0.979788718317629
42	0.963319503676451	0.949346627989157
43	0.961937768120598	0.957627055235249
44	0.96107258517261	0.952194945353167
45	0.962095805534003	0.939833321388104
46	0.955996457592814	0.96428364334389
47	0.954621100843864	0.965703765650339
48	0.954648705769272	0.969505587584883
49	0.961598614459546	0.937437033019316
50	0.959273819284712	0.952743827539053
Train-Validation (Average)	0.958428 (0.005826)	0.947727 (0.024415)
Test	-	0.770988 (0.005826)
