Repeat	Correlation
1	0.787969817750476
2	0.805179507025618
3	0.854092348267809
4	0.793307542587246
5	0.869206555828436
6	0.804745228963802
7	0.773518602628166
8	0.814591125060729
9	0.884171417733236
10	0.777027175503178
11	0.846685853826104
12	0.853471059632137
13	0.872557057395879
14	0.778677183281472
15	0.84950144283308
16	0.844406185518056
17	0.878105699828125
18	0.819401196029108
19	0.818081522905116
20	0.700473977964183
21	0.812417832732682
22	0.870031347609438
23	0.747101369838737
24	0.777332402020986
25	0.840499539678976
26	0.874012873139038
27	0.878459201554215
28	0.857388431464863
29	0.787134876896474
30	0.774523618951566
31	0.711462175031812
32	0.803152235265662
33	0.749444557343287
34	0.846151801172541
35	0.762799224990117
36	0.840006619589254
37	0.842139990369731
38	0.900916236731521
39	0.768871929968629
40	0.729151296165192
41	0.732230095264035
42	0.812174990054988
43	0.808439324591943
44	0.781759584426968
45	0.805881895227385
46	0.873443016219323
47	0.896109034871581
48	0.857038462707695
49	0.874415920988714
50	0.744313759365277
Trining (Max)	0.900916
Test	0.763603
