Repeat	Train.Correlation	Val.Correlation
1	0.930389181660958	0.820559652839267
2	0.962971447294079	0.871426383143252
3	0.94739787515666	0.828635006976226
4	0.951027666465391	0.799165007511926
5	0.961962832784471	0.753075012238389
6	0.925279955439078	0.856110157360327
7	0.952969249955285	0.709963987553663
8	0.944849540926119	0.850033155903044
9	0.952108022637566	0.878403127624558
10	0.94776294207157	0.669253880618552
11	0.907962189384496	0.737191764929645
12	0.958596290494798	0.819538948597723
13	0.936665565572467	0.804996114910489
14	0.918571971841007	0.912588220773433
15	0.928758306587549	0.802392926237075
16	0.963362850099549	0.798930005553864
17	0.925329710934278	0.800677289627996
18	0.948053496149777	0.683734455091747
19	0.958269339880748	0.671154454537744
20	0.937146147257207	0.830648858381757
21	0.958569712382263	0.618664821136701
22	0.965909777533546	0.938871334162474
23	0.95232270169405	0.765599428585621
24	0.962520237354603	0.758375220194725
25	0.966991323140191	0.768729946105792
26	0.925951314587975	0.759348857848471
27	0.947801662215567	0.796521236921875
28	0.952050050129875	0.861306180958233
29	0.970753280615664	0.683326170633515
30	0.939625946593379	0.776069639642694
31	0.960393311344852	0.831415669548651
32	0.966794262381642	0.847265499791894
33	0.972484763723313	0.78183611961964
34	0.951298133228061	0.694248164463842
35	0.956376872352618	0.855191131156769
36	0.942320214168636	0.837450110744155
37	0.951771271132145	0.837250244317772
38	0.962227154293165	0.869146913290195
39	0.929041908541667	0.703143600195448
40	0.951498647806007	0.87041902075714
41	0.95795401497626	0.793704978775375
42	0.966323408879117	0.777895584395373
43	0.902708124232496	0.850236923744765
44	0.971494915497968	0.592793679512967
45	0.938193417231222	0.798543270935362
46	0.918987434269494	0.840624292790835
47	0.963883536159496	0.856137559133568
48	0.939828334675176	0.885059692532916
49	0.948061218641747	0.797100944271164
50	0.966591288342234	0.842744107836207
Validation (Max)	0.96591 (0.017098)	0.938871 (0.065894)
Test (of Max)	-	0.704219
